id;package;me;type;qty;unit;name;source;net_unit;tax_mode;rate;source_gross_eur;scope_status;price_class;note;url;original_price;original_currency;net_eur;vat_eur;gross_eur
PK09-B-L03;PK09;ME-22;Оборудование / компонент;;шт;Jabsco 35770-0094 /24V;A15;;PL23_ESTIMATE;23;;OPEN;NO_VERIFIED_NET;"Поиск224.42exVAT, открытиеchallenge. Раздел дилера предупреждаетhold EU compliance. NET поле пусто; не считать доступным. Официально7м³/мин свободныйрасход, требуемыйнапорнепроверен. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.mackengineering.co.uk/35770-0094-24v-flexmount-blower.html;224.42;GBP;;;
PK09-B-L04;PK09;ME-23;Оборудование / компонент;;шт;Marco UP3/OIL 16402013 /24V;A16;188.56;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"Только насос; коллектор3агрегатов,шланги,поддоны,свет и автоматика не включены. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.mackengineering.co.uk/marco-up3-oil-pump-24v.html;162.00;GBP;;;
PK10-B-L01;PK10;ME-20;Оборудование / компонент;;шт;Rule 2000 GPH / model12 /24V;A12;124.82;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"Габариты из официальной таблицы, у дилера155×105 отличаются; сверить ревизию. Не вся система осушения; поплавок/сигнализация отдельно. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.mackengineering.co.uk/rule-2000-gph-bilge-pump-24v.html;107.24;GBP;;;
PK10-B-L02;PK10;ME-20;Оборудование / компонент;;шт;Whale Gusher Urchin BP9005;A13;64.13;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"Ориентир цены ручного насоса; не назначенный главный аварийный насос67ft, расход/напор/доступ проверить. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.mackengineering.co.uk/bp9005-whale-gusher-urchin-hand-pump.html;55.10;GBP;;;
PK10-B-L03;PK10;ME-20;Оборудование / компонент;;шт;Rule 32ALA /24V;A14;85.19;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"Цена связанного товара открытой карточки; состав сигнализации и число отсеков открыты. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.mackengineering.co.uk/rule-2000-gph-bilge-pump-24v.html;73.19;GBP;;;
PK10-B-L04;PK10;ME-21;Оборудование / компонент;;шт;Fireboy MA series 31.620.55;A20;;PL23_ESTIMATE;23;;OPEN;NO_VERIFIED_NET;"Поиск1950NET, открытиеошибка. Заголовок51м³, таблица15.6м³ противоречат; модель/заряд не выбраны. Нельзя уменьшать заряд ради габарита. Отключение двигателей/вентиляции и ручнойпуск по отдельномуBOM. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.oltrevela.com/en/31-620-55-fireboy-ma-series-automatic-manual-fire-extinguisher-13-4-kg-for-engine-rooms-and-motor-compartments-up-to-51m-uscg-and-iso-rina-approved-fireboy-4;1950.00;EUR;;;
PK11-B-L01;PK11;ME-24;Оборудование / компонент;;шт;Vetus SENSORA;A18;187.69;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"Ультразвуковой аналоговый датчик; работа в конкретном танке и интерфейс подлежат проверке. Не цена танка. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.vetus-shop.com/vetus-fuel-tank-quickfit-diesel-40-litre-8mm-p-1786.html;161.25;GBP;;;
PK11-B-L02;PK11;ME-25;Оборудование / компонент;;шт;Jabsco 18590-2094 /24V;A19;164.85;PL23_ESTIMATE;23;;OPEN;OBSERVED_NET_CONDITIONAL_SCOPE;"24V; только насос сточного танка. Пересечение с комплектом туалета проверять; число танков не назначено. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";https://www.cactusnav.com/jabsco-macerator-pump-p-37922.html;141.63;GBP;;;
PK12-B-L01;PK12;ME-29;Оборудование / компонент;;шт;Sleipner Load-sensing system / bulkhead tank 40L;A07;;PL23_ESTIMATE;23;;OPEN;NO_VERIFIED_NET;"Справочный габарит настенного танк-модуля из каталога2020; с блоком одного подруливающего, без всей установки. Ещё100мм для замены фильтра. Нужны текущийCAD и расчёт всех потребителей. | НДС23% предварительно по поручению владельца; не установленный режим сделки.";;;EUR;;;
OPEN-ME-03;PK01;ME-03;Неоценённая функция;;;Муфта, опоры, упорный узел и элементы валопровода;M01/ME-03;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"Функциональная линия одна; числа подшипников/опор/уплотнений и комплектность не установлены | Резервсостава,неповтор комплектных деталей; количествоаппаратов не назначено.";;;;;;
OPEN-ME-06;PK03;ME-06;Неоценённая функция;1;канал;Независимое инверторное питание AC насоса пресной воды;M01/ME-06;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"РеестрO02 предлагает1 отдельный инвертор; brief допускает отдельное либо изолированное исполнение. Аппаратное исполнение выбрать одинаково для3вариантов | Резервсостава,неповтор комплектных деталей; количествоаппаратов не назначено.";;;;;;
OPEN-ME-10;PK03;ME-10;Неоценённая функция;;;Распределение AC/DC, переключение источников, зарядная и защитная автоматика;M01/ME-10;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"Состав щитов/аппаратов/датчиков по однолинейной схеме; штатное включение в инверторы/генераторы не считать дважды | Резервсостава,неповтор комплектных деталей; количествоаппаратов не назначено.";;;;;;
OPEN-ME-17;PK05;ME-17;Неоценённая функция;;;Гидроаккумуляторы, коллекторы, фильтры, клапаны и рециркуляция ГВС;M01/ME-17;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"Разделить комплектные и внешние детали; количество по P&ID, рециркуляция по необходимости | Резервсостава,неповтор комплектных деталей; количествоаппаратов не назначено.";;;;;;
OPEN-ME-26;PK08;ME-26;Неоценённая функция;;;Резервное водяное отопление;M01/ME-26;;PL23_ESTIMATE;23;;CONDITIONAL;NO_PRICE;"Не обязательная покупка до решения; обратный цикл чиллеров и отдельное отопление не назначаются автоматически | Резервсостава,неповтор комплектных деталей; количествоаппаратов не назначено.";;;;;;
GAP-01;ADD;;Работа / внешняя затрата;;;Рабочее проектирование и интеграция МО;M06/scope + office/cost-policy;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"Чертежи фундаментов/трасс/систем; без общей архитектуры всей яхты";;;;;;
GAP-02;ADD;;Работа / внешняя затрата;;;Внешние трубопроводы, кабели и монтажные материалы;M06/scope + office/cost-policy;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;Только невключённые в поставку материалы: длины, диаметры, крепления и изоляция по проекту;;;;;;
GAP-03;ADD;;Работа / внешняя затрата;;;Изготовление фундаментов и локальных усилений;M06/scope + office/cost-policy;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"Внешние корпусные работы; не повтор заводских виброопор и корпусного бюджета";;;;;;
GAP-04;ADD;;Работа / внешняя затрата;;;Монтаж и центровка оборудования;M06/scope + office/cost-policy;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"Труд и оснастка; без уже включённого монтажа из будущих КП";;;;;;
GAP-05;ADD;;Работа / внешняя затрата;;;Настройка, пусконаладка и испытания МО;M06/scope + office/cost-policy;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"Системные/интеграционные испытания; не повтор заводских испытаний и общесудовой приёмки";;;;;;
GAP-06;ADD;;Работа / внешняя затрата;;;Доставка и страхование до верфи;M06/scope + office/cost-policy;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"Маршрут, местоотгрузки,масса/габариты; есливключеноКП — обоснованныйноль";;;;;;
GAP-07;ADD;;Работа / внешняя затрата;;;Пошлина и таможенное оформление;M06/scope + office/cost-policy;;TAX_REVIEW;;;OPEN;NO_PRICE;"Применимость по маршруту и происхождению; не автоматическое начисление; VATбаза уточняется";;;;;;
GAP-08;ADD;;Работа / внешняя затрата;;;Дополнительная установочная комплектность;M06/scope + office/cost-policy;;PL23_ESTIMATE;23;;OPEN;NO_PRICE;"Недостающие соединители,контроллеры,сервисные принадлежности послеM06; оплачиватьодинразпоBOM";;;;;;
