candidate_id;me_id;category;manufacturer;model;qty;unit;currency;listed_price;tax_basis;tax_rate;net_unit_price;price_url;spec_url;length_mm;width_mm;height_mm;mass_kg;technical_status;scope_notes;availability;access_date;price_class;evidence_type;price_date;source_revision;eur_net_unit
EL-INV-C;ME-05;inverter_charger;Mastervolt;CombiMaster 24/3000-60 230V 35023000;2;pcs;EUR;1599.96;GROSS_RATE_CONFIRMED;19;1344.50;https://www.svb.de/de/mastervolt-wechselrichter-ladegeraet-combimaster-24-v-3000-va-60-a.html?question_sort=oldest;https://www.mastervolt.com/products/combimaster/combimaster-24-3000-60-230-v/;155;284;448;9.3;CONDITIONAL_3KVA_NOT_EQUAL_W;"24 V; factory230 V;3000 VA/2600 W at40C;60 A charger;25 A transfer versus32 A Victron. Parallel operation not qualified.";"1 listed in stock; second unconfirmed";2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;1344.50
EL-ISO-A;ME-09;isolation_transformer;Victron;3600 ITR040362042;;pcs;EUR;436.93;NET_EXPLICIT;;436.93;https://www.svb24.com/en/p/victron-isolation-transformer-3600-w-115-230-v.html;https://www.victronenergy.com/upload/documents/Datasheet-Isolation-Transformers-EN.pdf;221;258;362;21.7;CONDITIONAL_UNIT_BENCHMARK_DIMENSIONS_DEALER;"3.6 class; quantity and shore capacity unknown. Dimensions/mass from opened dealer data pending native drawing confirmation; no substitute of32A at115V for32A at230V.";expected1-2weeks;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;436.93
EL-ISO-B;ME-09;isolation_transformer;Mastervolt;Mass GI3.5 88000355;;pcs;EUR;1008.36;NET_EXPLICIT;;1008.36;https://www.svb24.com/en/mastervolt-mass-gi-3-5-isolation-transformer-16-a-3-5-kw.html;https://www.mastervolt.com/products/mass-gi/mass-gi-35-kva-16a-lightweight/;144;261;340;6;CONDITIONAL_UNIT_BENCHMARK;"3500 VA at230 V;16 A;HF technology;source IP23 supersedes dealer IP21. Not complete shore protection.";1 listed in stock;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;1008.36
EL-ISO-C;ME-09;isolation_transformer;WhisperPower;GI3600 60110102;;pcs;EUR;1885.00;GROSS_RATE_UNCONFIRMED;;;https://www.hansenautic.de/36377/wp-gi-compact-galvanic-isolation-transformator-230v-16a-120v-32a/;https://www.whisperpower.com/gi-3600-compact-galvanic-isolation-transformer;208;290;380;28.6;CONDITIONAL_NET_PENDING_TAX;"3.6 kVA;230/110 V;16/32 A. Open page confirms VAT included but not rate: NET deliberately blank.";availability on request;2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
EL-BAT-A;ME-08;service_battery;Exide;ER550 12V115Ah;6;pcs;EUR;166.89;GROSS_RATE_CONFIRMED;19;140.24;https://online-batterien.de/a/exide-er550-dual-versorgungsbatterie-starterbatterie-12v-115ah-550wh/400440;https://www.exidegroup.com/en/document/ml-brochure-2022;349;175;235;28;CONDITIONAL_115AH12V_NOT_OWNER_APPROVED;"Flooded. Owner only said115 amperes; Ah and unit voltage unconfirmed. 6 physical units; no bank wiring/capacity inferred. Deposit extra. Dealer350mm/29kg differs from brochure.";not in stock;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;140.24
EL-BAT-B;ME-08;service_battery;Aquamot;ALS12115 12V115Ah;6;pcs;EUR;319.00;GROSS_RATE_CONFIRMED;19;268.07;https://www.nothnagel-marine.de/product_info.php?info=p3857_aquamot---power-battery--dc-battery-als12115-12v-115ah-agm-deep-cycle-battery.html&language=en;https://aquamot.at/wp-content/uploads/2018/02/Die-Batterie-Aquamot.pdf;331;176;220;33.7;CONDITIONAL_115AH12V_NOT_OWNER_APPROVED;"AGM dealer description; legacy manufacturer sheet includes GEL construction wording, chemistry/revision confirmation needed. Body height214mm total220mm; dealer header6.4kg rejected in favour33.7kg technical sheet.";"3-7days; abroad may vary";2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;268.07
EL-BAT-C;ME-08;service_battery;Victron;AGM Telecom115Ah M8 BAT412105164;6;pcs;EUR;329.95;GROSS_RATE_CONFIRMED;21;272.69;https://ab-marineservice.com/product/12v-115ah-agm-telecom-batt-m8/;https://www.victronenergy.com/upload/documents/Datasheet-Telecom-batteries-EN.pdf;395;110;293;35;CONDITIONAL_115AH12V_NOT_OWNER_APPROVED;"12 V AGM front terminal;6 units only if owner confirms115Ah12V. No12V housebus inferred. Open page21% supersedes search19%.";backorder3-5workingdays;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;272.69
EL-DIST-A;ME-10;dc_distribution_module;Victron;Lynx Distributor M8 LYN060102000;;pcs;EUR;182.75;NET_EXPLICIT;;182.75;https://www.dynastart.nl/lyn060102000-lynx-distributor-m8;https://www.victronenergy.com/media/pg/Lynx_Distributor/en/technical-specifications-lynx-distributor.html;170;80;290;2.2;CONDITIONAL_UNIT_BENCHMARK;"Supports24 V;1000 A product rating not yacht demand; four fuse ways, fuses/monitor supply and full installation separate. Source axis hxlxw=290x170x80; check drawing for orientation.";in stock;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;182.75
EL-DIST-B;ME-10;dc_distribution_panel;Philippi;STV207 020002071;;pcs;EUR;214.24;NET_EXPLICIT;;214.24;https://www.svb24.com/en/philippi-stv207-power-distribution-panel-configurable.html;https://www.philippi-online.de/en/collections/serie_200-marine/products/stv-207;70;105;210;;CONDITIONAL_UNIT_BENCHMARK;"24 V compatible seven-circuit unit benchmark;10 A standard breakers not approved circuit ratings. DC accessory socket not permission for12V loads on24V. Mass not published. Not complete yacht switchboard.";2 listed in stock;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;214.24
EL-DIST-C;ME-10;ac_shore_distribution_panel;Philippi;LAE113 010001130;;pcs;EUR;331.89;NET_EXPLICIT;;331.89;https://www.svb24.com/en/philippi-lae-113-shore-connection-unit.html;https://www.philippi-online.de/en/products/lae-113;100;260;185;;CONDITIONAL_UNIT_BENCHMARK;"Factory230 V50Hz panel benchmark for220VAC target;16A/30mA RCBO and3two-pole10A circuits per official description. Not full multi-source AC switchboard; mass unknown.";2 listed in stock;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;331.89
EL-REM-A;ME-28;remote_battery_switch;Blue Sea;ML-RBS7702 24V;;pcs;EUR;239.45;NET_EXPLICIT;;239.45;https://www.svb24.com/en/blue-sea-hd-remote-battery-switch-24v.html;https://www.bluesea.com/products/7702/ML-RBS_Remote_Battery_Switch_with_Manual_Control_-_24V_DC_500A;;;;0.95;CONDITIONAL_UNIT_BENCHMARK;"Manual override;24V coil;500A continuous product rating. Quantity, control failover, crank duty and24V live switching not qualified; dimensions drawing pending.";9 listed in stock;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;239.45
EL-REM-B;ME-28;remote_solenoid;Blue Sea;7703 24V;;pcs;EUR;226.85;NET_EXPLICIT;;226.85;https://www.svb24.com/en/blue-sea-universal-solenoid-switch-24-v.html;https://d2pyqm2yd3fw2i.cloudfront.net/files/resources/instructions/990180170-006.pdf;;;;;CONDITIONAL_UNIT_BENCHMARK;"Solenoid unit benchmark without manual override of7702; not automatic equivalent. Physical dimensions/mass unverified. No assertion reserve-start scheme works.";2 listed in stock;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;226.85
EL-OPEN-PUMP;ME-06;independent_ac_pump_channel;;UNSIZED;1;function;;;UNKNOWN;;;;;;;;;OPEN_LOAD_AND_STARTUP;"1 independent function, not necessarily extra inverter. Select after pump running power/start waveform/duty; avoid double counting ME05.";NOT_CONFIRMED;2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
EL-OPEN-MAIN;ME-07;engine_start_battery;;UNSIZED;1;pcs;;;UNKNOWN;;;;;;;;;OPEN_START_VOLTAGE_CCA;1 physical owner battery, capacity/voltage/chemistry unknown. Not automatically ER550 or service115Ah.;NOT_CONFIRMED;2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
EL-OPEN-GEN;ME-27;generator_start_battery;;UNSIZED;2;pcs;;;UNKNOWN;;;;;;;;;OPEN_START_VOLTAGE_CCA;"2 physical owner batteries for2generators; capacity/voltage/CCA unknown; keep9total with6service+1main. No fictitious unit price.";NOT_CONFIRMED;2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
WC-RO-01;ME-13;RO150;Aquatec;AC150 230V single phase;1;шт;EUR;7539;EXPLICIT_NET_AND_19_PERCENT_GROSS;19;6335.29;https://www.aquatec-watermaker.de/wassermacher-produkt-ac150-ac240.html;https://www.aquatec-watermaker.de/wassermacher-produkt-ac150-ac240.html;;;;;"FUNCTION_PARITY_OPEN;220V_COMPATIBILITY_OPEN";"150 L/h nominal ±10% at25C/35000ppm; modular conventional HP pump; base price only: automatic flush/salinity/reject parity must be itemised; generator minimum4kW manufacturer target, not electrical demand or selection";NOT_CONFIRMED;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;6335.29
WC-RO-02;ME-13;RO150;Schenker;ZEN150 24V/230V Touch plus salinity/reject;1;шт;EUR;12820.2;FROM_GROSS_EXPLICIT_20_PERCENT;20;10683.5;https://mar-nautic.com/schenker-watermaker-zen-150;https://schenkerwatermakers.com/wp-content/uploads/2025/03/ZEN150_datasheet_v4.pdf;;;;;"FROM_PRICE_NOT_CONFIGURED;RFQ_REQUIRED";"Observed FROM base price; net is FROM benchmark only, NOT complete Touch/salinity/reject price. Nominal150L/h. Manufacturer230V±15% includes220V. Basic has no salinity; Touch optional; 24V variant permitted. Modular unit dimensions not total installed envelope.";"Out of stock; order lead time on request";2026-09-11;FROM_INCOMPLETE_CONFIGURATION;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;10683.50
WC-RO-03;ME-13;RO150;Osmosea;NEW12 150C 24V;1;шт;EUR;;;;;https://www.manelservice.com/en/marine-desalination-systems/17102-osmosea-new12-150c-nautical-watermaker-150-lth.html;https://osmosea.it/en/new-12/;;;;63;"RFQ_REQUIRED;COMPACT_CANDIDATE";"Official150L/h/600W; flush/salinometer/unsafe-water discard included. Official63kg conflicts dealer65kg; dimensions dealer796x317x408 not official therefore blank. Dealer install/service kits included vs manufacturer optional: reconcile";NOT_CONFIRMED;2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
WC-DC-01;ME-11;FRESHWATER_24V;CEM;OSC-16.062.24 / OEM identity reconcile;1;шт;EUR;1229.9;EXPLICIT_HT;;1024.92;https://www.comptoirnautique.com/groupe-d-eau-a-pressostat/53022-cem-elettromeccanica-autoclave-cem-vase-expansion-inox-20l-24v-50-l-min.html;https://cempumps.com/wp-content/uploads/2024/10/Autoclavi_20L-20X.pdf;;;;;WORKING_POINT_AND_OEM_ID_OPEN;"24V20L accumulator; dealer50L/min max; source model mapping not proven. Common proposed test15L/min at2bar NOT verified. Do not add included tank again.";"Preorder; replenishment23/09/2026";2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;1024.92
WC-DC-02;ME-11;FRESHWATER_24V;Gianneschi;EcoInox1 GE011 24V20L;1;шт;EUR;1311.9;EXPLICIT_HT;;1093.25;https://www.comptoirnautique.com/groupe-d-eau-hydrophore/22947-gianneschi-groupe-d-eau-ecoinox-1-avec-reservoir-20l-24v-45lmin-7024.html;https://www.gianneschipumps.com/GIANNESCHI_Brochure-web.pdf;;;;;WORKING_POINT_OPEN;"45L/min max; common proposed15L/min at2bar needs curve. Includes20L tank/gauge/pressure switch; current OEM revision confirmation.";In stock48/72h;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;1093.25
WC-DC-03;ME-11;FRESHWATER_24V;ENAG;GH24-0.37-24L-OT RB18-ED;1;шт;EUR;;;;;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf;;;;29;"RFQ_REQUIRED;WORKING_POINT_OPEN";"Official24V/0.37kW; 1m3/h at30m published point; pressure switch1.5/2.5bar.24L tank differs20L competitors: standardise accumulator scope before comparison. Dimensions drawing orientation not mapped into LWH.";NOT_CONFIRMED;2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
WC-AC-01;ME-12;FRESHWATER_AC;CEM;J-INOX/20X 230M;1;шт;EUR;;;;;https://cempumps.com/wp-content/uploads/2024/10/Autoclavi_20L-20X.pdf;https://cempumps.com/wp-content/uploads/2024/10/Autoclavi_20L-20X.pdf;;;;;"RFQ_REQUIRED;220V_COMPATIBILITY_OPEN;WORKING_POINT_OPEN";Official230V singlephase variant exists. Proposedcommon15L/min at2bar not accepted from maxflow.20L stainless tank included. No price borrowed from24V sibling.;NOT_CONFIRMED;2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
WC-AC-02;ME-12;FRESHWATER_AC;Gianneschi;EcoInox2 GE017 230V20L;1;шт;EUR;1263;EXPLICIT_HT;;1052.5;https://www.tyboat.com/achat/P-57388-gianneschi-groupe-d-eau-ecoinox2-3-5-bars-0-45-kw-55-litres-minute-reservoir-20-litres-230-volts.html;https://www.gianneschipumps.com/GIANNESCHI_Brochure-web.pdf;;;;;"220V_COMPATIBILITY_OPEN;WORKING_POINT_OPEN";"Open page1052.50HT supersedes search992.50. Dealer max55L/min conflicts Kent45: curves required.0.45kW/20L; common15L/min at2bar not verified.";Stock1–6businessdays;2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;1052.50
WC-AC-03;ME-12;FRESHWATER_AC;ENAG;GH230mono-0.37-24L-JET M-ED;1;шт;EUR;;;;;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf;;;;18;"RFQ_REQUIRED;220V_COMPATIBILITY_OPEN;WORKING_POINT_OPEN";"Explicit230V singlephase; official1m3/h at40m, pressure switch1.5/2.5bar.24L accumulator vs20L needs standardisation; no equivalence claim.";NOT_CONFIRMED;2026-09-11;NO_VERIFIED_NET;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;
WC-CH-01;ME-15;CHILLER_REFERENCE_16000BTUH;Thermowell;UC16H;2;шт;EUR;4544.35;GROSS_EXPLICIT_ALV25.5;25.5;3621.0;https://www.esconet.fi/shop/uc16h-thermowell-uc16h-ilmastointilaite-chiller-230v-16000btu-27518;https://www.thermowellmarine.com/wp-content/uploads/2023/04/THERMOWELL-2023_rev1_apr_web.pdf;350;340;380;38;"REFERENCE_SIZE_ONLY;VOLTAGE_REVISION_CHECK;SUPPLY_SCOPE_CONFLICT_RFQ";"16000BTU/h each; illustrative class NOT yacht heatload. Officialcatalog220/1/50; dealer230V. Dimensions exclude controlbox. OEM catalogue says box/display included BUT priced Esco SKU requires airhandler/controlpanel separately: inclusion CONFLICT, RFQ required; do not assume included display.1.5kWnominput at catalogue conditions; independent2module integration open.";"Esco stock0; supplier availability unknown";2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;3621.00
WC-CH-02;ME-15;CHILLER_REFERENCE_16000BTUH;Climma;CWS Aquacontrol161RC 230/1/50;2;шт;EUR;4155.3;EXPLICIT_TAX_EXCLUDED;;4155.3;https://mdislandsupply.com/en/climma/879-cws-aquacontrol-161-rc-230150-climma.html;https://www.veco.net/en/prodotti/climma-cws-aquacontrol-chillers/;;;;;"REFERENCE_SIZE_ONLY;220V_COMPATIBILITY_OPEN";"16000BTU/h each; reversecycle. Price recovered live requests HTTP200 after web429; local source text retained. OEM dimensions require authenticated download; old dealerPDF not promoted.";"Last items;1–2businessdays claim";2026-09-11;OBSERVED_NET_CONDITIONAL_SCOPE;PUBLIC_PRICE_NOT_KP;UNKNOWN;deliverables/M02/v001/01_support/all-candidates.csv;4155.30
