check_id;variant_id;required_scope;status;closure_evidence;owner;cost_location
PK03-A-S01;PK03-A;"Два основных инвертора/зарядных устройства, береговой ввод и развязка, AC/DC распределение, защиты и общесудовые питающие кабели до границ потребителей; контроль источников, заряд и отключение второстепенных нагрузок, критическое питание";OPEN;;;
PK03-A-S02;PK03-A;"ME-06: одна независимая функция питания AC водяной ветви при отказе гостиничного инвертора; отдельный третий инвертор не назначен";OPEN;;;
PK03-A-S03;PK03-A;Монтаж, маркировка и электрические проверки;OPEN;;;
PK03-A-S04;PK03-A;Пусковые силовые пути, изоляция АКБ и BMS — PK04;OPEN;;;
PK03-A-EXT;PK03-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK03-B-S01;PK03-B;"Два основных инвертора/зарядных устройства, береговой ввод и развязка, AC/DC распределение, защиты и общесудовые питающие кабели до границ потребителей; контроль источников, заряд и отключение второстепенных нагрузок, критическое питание";OPEN;;;
PK03-B-S02;PK03-B;"ME-06: одна независимая функция питания AC водяной ветви при отказе гостиничного инвертора; отдельный третий инвертор не назначен";OPEN;;;
PK03-B-S03;PK03-B;Монтаж, маркировка и электрические проверки;OPEN;;;
PK03-B-S04;PK03-B;Пусковые силовые пути, изоляция АКБ и BMS — PK04;OPEN;;;
PK03-B-EXT;PK03-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK03-C-S01;PK03-C;"Два основных инвертора/зарядных устройства, береговой ввод и развязка, AC/DC распределение, защиты и общесудовые питающие кабели до границ потребителей; контроль источников, заряд и отключение второстепенных нагрузок, критическое питание";OPEN;;;
PK03-C-S02;PK03-C;"ME-06: одна независимая функция питания AC водяной ветви при отказе гостиничного инвертора; отдельный третий инвертор не назначен";OPEN;;;
PK03-C-S03;PK03-C;Монтаж, маркировка и электрические проверки;OPEN;;;
PK03-C-S04;PK03-C;Пусковые силовые пути, изоляция АКБ и BMS — PK04;OPEN;;;
PK03-C-EXT;PK03-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK04-A-S01;PK04-A;"Девять физических АКБ по назначению; крепления и защитные объёмы, BMS по химии, батарейная и стартерная коммутация, силовые кабели до согласованных точек подключения PK03/стартеров, дистанционные контакторы, межблокировки и подтверждение состояния";OPEN;;;
PK04-A-S02;PK04-A;"Изоляция неисправной АКБ перед резервным пуском; местная блокировка обслуживания, питание управления и проверка всех разрешённых путей запуска";OPEN;;;
PK04-A-S03;PK04-A;"Зарядные устройства — PK03; независимость и настройки зарядки совместно PK03/PK04";OPEN;;;
PK04-A-EXT;PK04-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK04-B-S01;PK04-B;"Девять физических АКБ по назначению; крепления и защитные объёмы, BMS по химии, батарейная и стартерная коммутация, силовые кабели до согласованных точек подключения PK03/стартеров, дистанционные контакторы, межблокировки и подтверждение состояния";OPEN;;;
PK04-B-S02;PK04-B;"Изоляция неисправной АКБ перед резервным пуском; местная блокировка обслуживания, питание управления и проверка всех разрешённых путей запуска";OPEN;;;
PK04-B-S03;PK04-B;"Зарядные устройства — PK03; независимость и настройки зарядки совместно PK03/PK04";OPEN;;;
PK04-B-EXT;PK04-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK04-C-S01;PK04-C;"Девять физических АКБ по назначению; крепления и защитные объёмы, BMS по химии, батарейная и стартерная коммутация, силовые кабели до согласованных точек подключения PK03/стартеров, дистанционные контакторы, межблокировки и подтверждение состояния";OPEN;;;
PK04-C-S02;PK04-C;"Изоляция неисправной АКБ перед резервным пуском; местная блокировка обслуживания, питание управления и проверка всех разрешённых путей запуска";OPEN;;;
PK04-C-S03;PK04-C;"Зарядные устройства — PK03; независимость и настройки зарядки совместно PK03/PK04";OPEN;;;
PK04-C-EXT;PK04-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK05-A-S01;PK05-A;"Одна установка 24 В и одна AC; независимые пути с выбором и изоляцией, гидроаккумуляторы, фильтры, обратные клапаны, коллекторы, магистрали до водоразбора и контроль давления";OPEN;;;
PK05-A-S02;PK05-A;Общие узлы ME-17, включая термостатическое смешение и рециркуляцию ГВС при принятии, принадлежат PK05;OPEN;;;
PK05-A-S03;PK05-A;Подача на RO промывку и бойлер — интерфейсы PK06/PK07;OPEN;;;
PK05-A-S04;PK05-A;"Комплектные фильтры RO — PK06; баки — PK11";OPEN;;;
PK05-A-S05;PK05-A;Опрессовка, промывка и проверка обоих режимов;OPEN;;;
PK05-A-EXT;PK05-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK05-B-S01;PK05-B;"Одна установка 24 В и одна AC; независимые пути с выбором и изоляцией, гидроаккумуляторы, фильтры, обратные клапаны, коллекторы, магистрали до водоразбора и контроль давления";OPEN;;;
PK05-B-S02;PK05-B;Общие узлы ME-17, включая термостатическое смешение и рециркуляцию ГВС при принятии, принадлежат PK05;OPEN;;;
PK05-B-S03;PK05-B;Подача на RO промывку и бойлер — интерфейсы PK06/PK07;OPEN;;;
PK05-B-S04;PK05-B;"Комплектные фильтры RO — PK06; баки — PK11";OPEN;;;
PK05-B-S05;PK05-B;Опрессовка, промывка и проверка обоих режимов;OPEN;;;
PK05-B-EXT;PK05-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK05-C-S01;PK05-C;"Одна установка 24 В и одна AC; независимые пути с выбором и изоляцией, гидроаккумуляторы, фильтры, обратные клапаны, коллекторы, магистрали до водоразбора и контроль давления";OPEN;;;
PK05-C-S02;PK05-C;Общие узлы ME-17, включая термостатическое смешение и рециркуляцию ГВС при принятии, принадлежат PK05;OPEN;;;
PK05-C-S03;PK05-C;Подача на RO промывку и бойлер — интерфейсы PK06/PK07;OPEN;;;
PK05-C-S04;PK05-C;"Комплектные фильтры RO — PK06; баки — PK11";OPEN;;;
PK05-C-S05;PK05-C;Опрессовка, промывка и проверка обоих режимов;OPEN;;;
PK05-C-EXT;PK05-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK06-A-S01;PK06-A;Один RO с подающим и высоким давлением по исполнению, мембранами, штатными фильтрами, контролем солёности и автоматическим отводом некондиционного продукта, промывкой и управлением;OPEN;;;
PK06-A-S02;PK06-A;"Внутренняя обвязка, крепления, монтаж и наладка; трассы забортной подачи и концентрата этой установки принадлежат PK06, не PK09";OPEN;;;
PK06-A-S03;PK06-A;"Подача пресной воды на промывку — PK05; приёмный танк — PK11";OPEN;;;
PK06-A-S04;PK06-A;Проверить качество, производительность и все автоматические режимы;OPEN;;;
PK06-A-EXT;PK06-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK06-B-S01;PK06-B;Один RO с подающим и высоким давлением по исполнению, мембранами, штатными фильтрами, контролем солёности и автоматическим отводом некондиционного продукта, промывкой и управлением;OPEN;;;
PK06-B-S02;PK06-B;"Внутренняя обвязка, крепления, монтаж и наладка; трассы забортной подачи и концентрата этой установки принадлежат PK06, не PK09";OPEN;;;
PK06-B-S03;PK06-B;"Подача пресной воды на промывку — PK05; приёмный танк — PK11";OPEN;;;
PK06-B-S04;PK06-B;Проверить качество, производительность и все автоматические режимы;OPEN;;;
PK06-B-EXT;PK06-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK06-C-S01;PK06-C;Один RO с подающим и высоким давлением по исполнению, мембранами, штатными фильтрами, контролем солёности и автоматическим отводом некондиционного продукта, промывкой и управлением;OPEN;;;
PK06-C-S02;PK06-C;"Внутренняя обвязка, крепления, монтаж и наладка; трассы забортной подачи и концентрата этой установки принадлежат PK06, не PK09";OPEN;;;
PK06-C-S03;PK06-C;"Подача пресной воды на промывку — PK05; приёмный танк — PK11";OPEN;;;
PK06-C-S04;PK06-C;Проверить качество, производительность и все автоматические режимы;OPEN;;;
PK06-C-EXT;PK06-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK07-A-S01;PK07-A;"Бойлеры с электрическим и двигательным нагревом, штатной защитной арматурой, изоляцией, креплениями и сливом; теплоноситель от согласованного присоединения двигателя до бойлера и обратно";OPEN;;;
PK07-A-S02;PK07-A;Монтаж, проверка нагрева и восстановления запаса;OPEN;;;
PK07-A-S03;PK07-A;Число и объём не назначены;OPEN;;;
PK07-A-S04;PK07-A;"Термостатическое смешение и общая рециркуляция — PK05, не повторная покупка PK07; питание — PK03";OPEN;;;
PK07-A-EXT;PK07-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK07-B-S01;PK07-B;"Бойлеры с электрическим и двигательным нагревом, штатной защитной арматурой, изоляцией, креплениями и сливом; теплоноситель от согласованного присоединения двигателя до бойлера и обратно";OPEN;;;
PK07-B-S02;PK07-B;Монтаж, проверка нагрева и восстановления запаса;OPEN;;;
PK07-B-S03;PK07-B;Число и объём не назначены;OPEN;;;
PK07-B-S04;PK07-B;"Термостатическое смешение и общая рециркуляция — PK05, не повторная покупка PK07; питание — PK03";OPEN;;;
PK07-B-EXT;PK07-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK07-C-S01;PK07-C;"Бойлеры с электрическим и двигательным нагревом, штатной защитной арматурой, изоляцией, креплениями и сливом; теплоноситель от согласованного присоединения двигателя до бойлера и обратно";OPEN;;;
PK07-C-S02;PK07-C;Монтаж, проверка нагрева и восстановления запаса;OPEN;;;
PK07-C-S03;PK07-C;Число и объём не назначены;OPEN;;;
PK07-C-S04;PK07-C;"Термостатическое смешение и общая рециркуляция — PK05, не повторная покупка PK07; питание — PK03";OPEN;;;
PK07-C-EXT;PK07-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK08-A-S01;PK08-A;"Два независимо изолируемых чиллерных модуля; шкафы и панели управления, согласованные фанкойлы по помещениям, гидравлические контуры холода и забортного охлаждения, насосы, фильтры, расширение, клапаны, трубная изоляция, воздухораспределение и дренаж конденсата; монтаж, балансировка и наладка";OPEN;;;
PK08-A-S02;PK08-A;Все собственные HVAC водяные ветви — PK08, не PK09;OPEN;;;
PK08-A-S03;PK08-A;Дополнительное отопление ME-26 — отдельная опция с контуром и управлением, без автоматического назначения котла;OPEN;;;
PK08-A-S04;PK08-A;Фанкойлы — явное расширение до результата, их количество открыто;OPEN;;;
PK08-A-EXT;PK08-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK08-B-S01;PK08-B;"Два независимо изолируемых чиллерных модуля; шкафы и панели управления, согласованные фанкойлы по помещениям, гидравлические контуры холода и забортного охлаждения, насосы, фильтры, расширение, клапаны, трубная изоляция, воздухораспределение и дренаж конденсата; монтаж, балансировка и наладка";OPEN;;;
PK08-B-S02;PK08-B;Все собственные HVAC водяные ветви — PK08, не PK09;OPEN;;;
PK08-B-S03;PK08-B;Дополнительное отопление ME-26 — отдельная опция с контуром и управлением, без автоматического назначения котла;OPEN;;;
PK08-B-S04;PK08-B;Фанкойлы — явное расширение до результата, их количество открыто;OPEN;;;
PK08-B-EXT;PK08-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK08-C-S01;PK08-C;"Два независимо изолируемых чиллерных модуля; шкафы и панели управления, согласованные фанкойлы по помещениям, гидравлические контуры холода и забортного охлаждения, насосы, фильтры, расширение, клапаны, трубная изоляция, воздухораспределение и дренаж конденсата; монтаж, балансировка и наладка";OPEN;;;
PK08-C-S02;PK08-C;Все собственные HVAC водяные ветви — PK08, не PK09;OPEN;;;
PK08-C-S03;PK08-C;Дополнительное отопление ME-26 — отдельная опция с контуром и управлением, без автоматического назначения котла;OPEN;;;
PK08-C-S04;PK08-C;Фанкойлы — явное расширение до результата, их количество открыто;OPEN;;;
PK08-C-EXT;PK08-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK09-A-S01;PK09-A;"Общие и раздельные внешние топливные ветви двигателя/генераторов: фильтрация, подача, обратки, арматура и сервис; их забортное охлаждение, антисифонные меры, выхлоп и выходы; приток и вытяжка МО с каналами, заслонками и остановом по пожару";OPEN;;;
PK09-A-S02;PK09-A;Маслосмена, поддоны, местные сервисные узлы и освещение с интерфейсом PK03;OPEN;;;
PK09-A-S03;PK09-A;Монтаж, изоляция, маркировка и испытания;OPEN;;;
PK09-A-S04;PK09-A;"Топливные танки и уровнемеры — PK11; заводские внутренние элементы агрегатов — PK01/PK02; отдельные RO/HVAC/гидравлические охладители и ветви — PK06/PK08/PK12";OPEN;;;
PK09-A-EXT;PK09-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK09-B-S01;PK09-B;"Общие и раздельные внешние топливные ветви двигателя/генераторов: фильтрация, подача, обратки, арматура и сервис; их забортное охлаждение, антисифонные меры, выхлоп и выходы; приток и вытяжка МО с каналами, заслонками и остановом по пожару";OPEN;;;
PK09-B-S02;PK09-B;Маслосмена, поддоны, местные сервисные узлы и освещение с интерфейсом PK03;OPEN;;;
PK09-B-S03;PK09-B;Монтаж, изоляция, маркировка и испытания;OPEN;;;
PK09-B-S04;PK09-B;"Топливные танки и уровнемеры — PK11; заводские внутренние элементы агрегатов — PK01/PK02; отдельные RO/HVAC/гидравлические охладители и ветви — PK06/PK08/PK12";OPEN;;;
PK09-B-EXT;PK09-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK09-C-S01;PK09-C;"Общие и раздельные внешние топливные ветви двигателя/генераторов: фильтрация, подача, обратки, арматура и сервис; их забортное охлаждение, антисифонные меры, выхлоп и выходы; приток и вытяжка МО с каналами, заслонками и остановом по пожару";OPEN;;;
PK09-C-S02;PK09-C;Маслосмена, поддоны, местные сервисные узлы и освещение с интерфейсом PK03;OPEN;;;
PK09-C-S03;PK09-C;Монтаж, изоляция, маркировка и испытания;OPEN;;;
PK09-C-S04;PK09-C;"Топливные танки и уровнемеры — PK11; заводские внутренние элементы агрегатов — PK01/PK02; отдельные RO/HVAC/гидравлические охладители и ветви — PK06/PK08/PK12";OPEN;;;
PK09-C-EXT;PK09-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK10-A-S01;PK10-A;"Зональное и аварийное осушение с насосами, ручными средствами, трубами, арматурой, датчиками и независимой тревогой; пожарное обнаружение, стационарное тушение, ручной пуск и контроль готовности";OPEN;;;
PK10-A-S02;PK10-A;Матрица остановов двигателя/генераторов и вентиляции, собственные исполнительные приводы пожарной отсечки топлива — PK10, корпуса топливной арматуры — PK09;OPEN;;;
PK10-A-S03;PK10-A;Монтаж и проверка сценариев, без необоснованного расходования заряда;OPEN;;;
PK10-A-S04;PK10-A;Числа, защищаемый объём и тип агента открыты;OPEN;;;
PK10-A-EXT;PK10-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK10-B-S01;PK10-B;"Зональное и аварийное осушение с насосами, ручными средствами, трубами, арматурой, датчиками и независимой тревогой; пожарное обнаружение, стационарное тушение, ручной пуск и контроль готовности";OPEN;;;
PK10-B-S02;PK10-B;Матрица остановов двигателя/генераторов и вентиляции, собственные исполнительные приводы пожарной отсечки топлива — PK10, корпуса топливной арматуры — PK09;OPEN;;;
PK10-B-S03;PK10-B;Монтаж и проверка сценариев, без необоснованного расходования заряда;OPEN;;;
PK10-B-S04;PK10-B;Числа, защищаемый объём и тип агента открыты;OPEN;;;
PK10-B-EXT;PK10-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK10-C-S01;PK10-C;"Зональное и аварийное осушение с насосами, ручными средствами, трубами, арматурой, датчиками и независимой тревогой; пожарное обнаружение, стационарное тушение, ручной пуск и контроль готовности";OPEN;;;
PK10-C-S02;PK10-C;Матрица остановов двигателя/генераторов и вентиляции, собственные исполнительные приводы пожарной отсечки топлива — PK10, корпуса топливной арматуры — PK09;OPEN;;;
PK10-C-S03;PK10-C;Монтаж и проверка сценариев, без необоснованного расходования заряда;OPEN;;;
PK10-C-S04;PK10-C;Числа, защищаемый объём и тип агента открыты;OPEN;;;
PK10-C-EXT;PK10-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK11-A-S01;PK11-A;"Полезные запасы и стоки: реестр фактических танков, встроенные либо съёмные ёмкости, люки, вентиляция, залив/слив, уровнемеры и управление; санитарная техническая подача, изоляция источников смыва, насосы стоков, откачка и контроль доступа к сбросу";OPEN;;;
PK11-A-S02;PK11-A;Изготовление встроенного танка и его испытание раскрыть отдельно от испытания всей системы;OPEN;;;
PK11-A-S03;PK11-A;В рамках учёта M03 — PK11, с интерфейсом корпусному W10.90, без двойной цены;OPEN;;;
PK11-A-S04;PK11-A;Санприборы, не входящие в перечень МО, — внешний пакет W50.58;OPEN;;;
PK11-A-S05;PK11-A;Трубопроводы от танковых сервисных границ — PK05/PK09 по назначению;OPEN;;;
PK11-A-EXT;PK11-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK11-B-S01;PK11-B;"Полезные запасы и стоки: реестр фактических танков, встроенные либо съёмные ёмкости, люки, вентиляция, залив/слив, уровнемеры и управление; санитарная техническая подача, изоляция источников смыва, насосы стоков, откачка и контроль доступа к сбросу";OPEN;;;
PK11-B-S02;PK11-B;Изготовление встроенного танка и его испытание раскрыть отдельно от испытания всей системы;OPEN;;;
PK11-B-S03;PK11-B;В рамках учёта M03 — PK11, с интерфейсом корпусному W10.90, без двойной цены;OPEN;;;
PK11-B-S04;PK11-B;Санприборы, не входящие в перечень МО, — внешний пакет W50.58;OPEN;;;
PK11-B-S05;PK11-B;Трубопроводы от танковых сервисных границ — PK05/PK09 по назначению;OPEN;;;
PK11-B-EXT;PK11-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK11-C-S01;PK11-C;"Полезные запасы и стоки: реестр фактических танков, встроенные либо съёмные ёмкости, люки, вентиляция, залив/слив, уровнемеры и управление; санитарная техническая подача, изоляция источников смыва, насосы стоков, откачка и контроль доступа к сбросу";OPEN;;;
PK11-C-S02;PK11-C;Изготовление встроенного танка и его испытание раскрыть отдельно от испытания всей системы;OPEN;;;
PK11-C-S03;PK11-C;В рамках учёта M03 — PK11, с интерфейсом корпусному W10.90, без двойной цены;OPEN;;;
PK11-C-S04;PK11-C;Санприборы, не входящие в перечень МО, — внешний пакет W50.58;OPEN;;;
PK11-C-S05;PK11-C;Трубопроводы от танковых сервисных границ — PK05/PK09 по назначению;OPEN;;;
PK11-C-EXT;PK11-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK12-A-S01;PK12-A;Полная гидросистема до нужных функций всех подруливающих и всех лебёдок: насосы и выбранный привод, PTO/адаптация либо электрический или отдельный привод, бак, фильтры, охлаждение, распределители, регулирование и защита давления, трассы, местные клапаны, управление и исполнительные гидромоторы/механизмы;OPEN;;;
PK12-A-S02;PK12-A;Выдать ведомость всех внешних потребителей и включений их пакетов: одинаковый предмет не суммировать дважды;OPEN;;;
PK12-A-S03;PK12-A;Монтаж, промывка, чистота масла, наладка приоритетов и испытания режимов, в том числе согласованного режима без главного дизеля;OPEN;;;
PK12-A-S04;PK12-A;Рулевое не включать в общий контур автоматически;OPEN;;;
PK12-A-EXT;PK12-A;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK12-B-S01;PK12-B;Полная гидросистема до нужных функций всех подруливающих и всех лебёдок: насосы и выбранный привод, PTO/адаптация либо электрический или отдельный привод, бак, фильтры, охлаждение, распределители, регулирование и защита давления, трассы, местные клапаны, управление и исполнительные гидромоторы/механизмы;OPEN;;;
PK12-B-S02;PK12-B;Выдать ведомость всех внешних потребителей и включений их пакетов: одинаковый предмет не суммировать дважды;OPEN;;;
PK12-B-S03;PK12-B;Монтаж, промывка, чистота масла, наладка приоритетов и испытания режимов, в том числе согласованного режима без главного дизеля;OPEN;;;
PK12-B-S04;PK12-B;Рулевое не включать в общий контур автоматически;OPEN;;;
PK12-B-EXT;PK12-B;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
PK12-C-S01;PK12-C;Полная гидросистема до нужных функций всех подруливающих и всех лебёдок: насосы и выбранный привод, PTO/адаптация либо электрический или отдельный привод, бак, фильтры, охлаждение, распределители, регулирование и защита давления, трассы, местные клапаны, управление и исполнительные гидромоторы/механизмы;OPEN;;;
PK12-C-S02;PK12-C;Выдать ведомость всех внешних потребителей и включений их пакетов: одинаковый предмет не суммировать дважды;OPEN;;;
PK12-C-S03;PK12-C;Монтаж, промывка, чистота масла, наладка приоритетов и испытания режимов, в том числе согласованного режима без главного дизеля;OPEN;;;
PK12-C-S04;PK12-C;Рулевое не включать в общий контур автоматически;OPEN;;;
PK12-C-EXT;PK12-C;"Подтвердить полный построчный BOM и границы: нет отсутствующих платных частей или внешних работ; у каждого включения/исключения есть место стоимости. Все монтажные доплаты учтены один раз.";OPEN;;;
