variant_id;package_id;description;fixed_quantities;technical_status;commercial_status;tax_completeness;selection;open_inputs
PK04-B;PK04;ALS12115 12V115Ah + UNSIZED + UNSIZED + ML-RBS7702 24V;6 сервисных + 2 генераторных + 1 главного двигателя;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Уточнение 115 ампер/А·ч и напряжения каждой АКБ ожидается. Пусковые токи, химия и допустимый разряд открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK04-C;PK04;AGM Telecom115Ah M8 BAT412105164 + UNSIZED + UNSIZED + ML-RBS7702 24V;6 сервисных + 2 генераторных + 1 главного двигателя;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Уточнение 115 ампер/А·ч и напряжения каждой АКБ ожидается. Пусковые токи, химия и допустимый разряд открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK05-A;PK05;OSC-16.062.24 / OEM identity reconcile + J-INOX/20X 230M;1 установка 24 В + 1 установка AC;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Рабочая точка и одновременность водоразбора открыты. 15 л/мин при 2 бар — только поисковый пример. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK05-B;PK05;EcoInox1 GE011 24V20L + EcoInox2 GE017 230V20L;1 установка 24 В + 1 установка AC;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Рабочая точка и одновременность водоразбора открыты. 15 л/мин при 2 бар — только поисковый пример. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK05-C;PK05;GH24-0.37-24L-OT RB18-ED + GH230mono-0.37-24L-JET M-ED;1 установка 24 В + 1 установка AC;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Рабочая точка и одновременность водоразбора открыты. 15 л/мин при 2 бар — только поисковый пример. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK06-A;PK06;AC150 230V single phase;1 опреснитель;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Температура, солёность и окончательная комплектация открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK06-B;PK06;ZEN150 24V/230V Touch plus salinity/reject;1 опреснитель;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Температура, солёность и окончательная комплектация открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK06-C;PK06;NEW12 150C 24V;1 опреснитель;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Температура, солёность и окончательная комплектация открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK07-A;PK07;B3 40L1200W FLB34012S000A00;Количество бойлеров не принято;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;40 л / 1200 Вт — рыночный пример, не заданная потребность. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK07-B;PK07;BX 40L1200W FLBX4012S000A00;Количество бойлеров не принято;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;40 л / 1200 Вт — рыночный пример, не заданная потребность. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK07-C;PK07;BXS 40L1200W FLBXS4012S00A00;Количество бойлеров не принято;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;40 л / 1200 Вт — рыночный пример, не заданная потребность. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK08-A;PK08;UC16H + NH150PS SWM0150230;"2 чиллера; дополнительное отопление — опция";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;16 000 BTU/h на модуль — пример рынка. Тепловой расчёт и уровень сервиса при отказе открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK08-B;PK08;CWS Aquacontrol161RC 230/1/50 + NH150PS SWM0150230;"2 чиллера; дополнительное отопление — опция";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;16 000 BTU/h на модуль — пример рынка. Тепловой расчёт и уровень сервиса при отказе открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK08-C;PK08;BlueCool C16M + NH150PS SWM0150230;"2 чиллера; дополнительное отопление — опция";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;16 000 BTU/h на модуль — пример рынка. Тепловой расчёт и уровень сервиса при отказе открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK09-A;PK09;75500MAXM30 + FTR330/32 + 35770-0094 /24V + UP3/OIL 16402013 /24V;Число элементов определяется выбранными системами;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Диаметры, тепловыделение, напор, длины и комплектность открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK09-B;PK09;75500MAXM30 + FTR33032M + 35770-0094 /24V + UP3/OIL 16402013 /24V;Число элементов определяется выбранными системами;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Диаметры, тепловыделение, напор, длины и комплектность открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK09-C;PK09;75500MAXM30 + FTR33032M + 35770-0094 /24V + UP3/OIL 16402013 /24V;Число элементов определяется выбранными системами;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Диаметры, тепловыделение, напор, длины и комплектность открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK10-A;PK10;2000 GPH / model12 /24V + Gusher Urchin BP9005 + 32ALA /24V + MA series 31.620.55;Число компонентов определяется расчётом;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Отсеки, защищаемый объём и аварийные режимы открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK10-B;PK10;2000 GPH / model12 /24V + Gusher Urchin BP9005 + 32ALA /24V + MA series 31.620.55;Число компонентов определяется расчётом;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Отсеки, защищаемый объём и аварийные режимы открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK10-C;PK10;2000 GPH / model12 /24V + Gusher Urchin BP9005 + 32ALA /24V + MA series 31.620.55;Число компонентов определяется расчётом;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Отсеки, защищаемый объём и аварийные режимы открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK11-A;PK11;SENSOR320 + 18590-2094 /24V;Количество и объёмы открыты;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Конструкция встроенных танков, уровни и маршруты доступа открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK11-B;PK11;SENSORA + 18590-2094 /24V;Количество и объёмы открыты;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Конструкция встроенных танков, уровни и маршруты доступа открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK11-C;PK11;SENSORA + 18590-2094 /24V;Количество и объёмы открыты;NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Конструкция встроенных танков, уровни и маршруты доступа открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK12-A;PK12;HT1010 + HT1016SD2 + HT301132 + HT102312 + HT1011;"Гидропривод обязателен; число потребителей не принято";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Тяга, момент, скорость, одновременность и источники мощности открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK12-B;PK12;Load-sensing system / bulkhead tank 40L;"Гидропривод обязателен; число потребителей не принято";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Тяга, момент, скорость, одновременность и источники мощности открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
PK12-C;PK12;Hydro 2;"Гидропривод обязателен; число потребителей не принято";NOT_CHECKED;PUBLIC_ONLY;OPEN;NOT_SELECTED;Тяга, момент, скорость, одновременность и источники мощности открыты. Измеренная компоновка, монтажные и сервисные зоны, полный состав поставки и интерфейсы ещё требуют подтверждения.
