item_id;group;item;quantity;unit;quantity_basis;branch_8lv;branch_6lpa;supply_boundary;interfaces;price_ref;technical_source;required_evidence;closure_owner;status;acceptance;notes
M11;PK01;Эластичные опоры двигателя/редуктора;;шт;"Тип/количество поBOM; не назначать4 без поставки";INCLUDED_DEALER_STATEMENT;OPEN;"Abma заявляет опоры8LV; bobtail6LPA проверить";Масса/центр тяжести/фундаменты;M03 YAN-E01;"M03/yanmar/research.md; OEM8LV2021spec and2019manual; M04/gearbox.md; OEM6LPA2021spec and partsfig48";Артикулы/количество/допустимые нагрузки/регулировки;Поставщик + верфь;OPEN;Опоры согласованы с нагрузкой и регулировкой;
M12;PK01;Фундаменты и усиления корпуса;;объёмы работ;После обследования и расчёта;SEPARATE;SEPARATE;Изменения алюминиевого корпуса под главный двигатель;Опоры/упор/коррозия/обслуживание;;Проектная декомпозиция M06;Обмер,расчёт,чертежи,материалы/сварка;Корпусный проектант + верфь;OPEN;Приняты геометрия и качество работ;
M13;PK09;Подача и возврат топлива главного двигателя;;позиции/м поBOM;Трасса/арматура/длиныOPEN;SEPARATE;SEPARATE;"Внешний контур от границы танка до двигателя; безгенераторов";Танк/насос/расход/обратное давление;;"OEM manuals8LV/6LPA; M03research";"Схема; диаметры; материалы; запорная арматура; допустимые давления";Системный проектант + верфь;OPEN;Герметичность и параметры подачи/возврата подтверждены;
M14;PK09;Предварительная фильтрация/водоотделение топлива;;шт;Число фильтров и необходимость резервирования по схеме;OPEN;OPEN;Не путать со штатным фильтром на двигателе;Топливоподача/обслуживание/сигнализация;;"OEM engine specs; M03research";"Штатная комплектность; требуемая тонкость/расход/перепад";Поставщик + системный проектант;OPEN;Фильтрация соответствует инструкции двигателя;
M15;PK09;Интерфейс топливных танков;;позиции BOM;Ёмкость/число танков здесь не назначаются;OPEN;OPEN;"Отбор/возврат/отсечка/очистка; сами танки отдельный корпусной/системный пакет";Общие танки яхты и отдельные потребители;;Проектная декомпозиция M06;Согласованные штуцеры/уровни/режимы и границы пакетов;Системный проектант;OPEN;Утверждены интерфейсы без дублирования танков;
M16;PK09;Забортное охлаждение главного двигателя;;позиции/м поBOM;Число вводов и длины после схемы;SEPARATE;SEPARATE;"Ввод/кингстон/фильтр/шланги/антисифон по применимости; безгенераторов";Корпус/насос/теплообменники/выхлоп;;OEM manuals8LV/6LPA;"Расход/сопротивление/уровни при крене; развязка металлов";Системный проектант + верфь;OPEN;"Согласован расход; исключено обратное затопление по проекту";
M17;PK01|PK09;Штатный замкнутый контур охлаждения двигателя;;позиции BOM;Проверить все штатные и выносные элементы;OPEN;OPEN;"Встроенный насос/теплообменник и расширение; проверитьBOM двигателя";Высоты/развоздушивание/жидкость;;OEM8LV2021 and6LPA2021spec;"BOM; выносной бак/линии если нужны; инструкция заполнения";Поставщик;OPEN;Полный согласованный контур без вторичной покупки штатных узлов;
M18;PK01|PK09;Маслоохладитель редуктора с подключением;1;функциональный узел;"Один контур однойкоробки; состав деталейOPEN; закупка по включённости";OPEN;OPEN;GB04 только теплообменник, не готовый узел;Редуктор/водяной контур/кронштейны/масляные шланги;M04 GB04;"M04/gearbox.md; OEM6LPA2021spec and partsfig48";"Серийныйвариант; полныйBOM; включённость в пакет";Поставщик редуктора;OPEN;Проверены давление/температура и отсутствие течей;
M19;PK01|PK09;Смесительное выпускное колено;1;шт;"Один выпуск; тип L/high-riser после отметок";OPEN;OPEN;"Сверить комплектность выбранногоSKU; альтернативные колена не складывать";Двигатель/забортнаявода/выхлоп;;OEM8LV2021 and6LPA2021spec;Тип/материал/высоты/включённость;Поставщик + системный проектант;OPEN;Колено соответствует монтажной схеме;
M20;PK09;Внешний выпуск главного двигателя;;позиции/м поBOM;Трасса,водянойзамок/глушитель/петли/выпуск порасчёту;SEPARATE;SEPARATE;"От колена до выхода за борт; без выпусков генераторов";Противодавление/затопление/шум/температура;;OEM manuals8LV/6LPA;Чертёж/длины/сечения/расчёт противодавления и водяногообъёма;Системный проектант + верфь;OPEN;Противодавление/защита от воды соответствуют OEM;
M21;PK09;Воздух двигателя и интерфейс вентиляции МО;;расчёт/позиции BOM;Расходы/сечения/число вентиляторовOPEN;OPEN;OPEN;"Требования главного двигателя к общей вентиляции; общий пакетМО не дублируется";Генераторы/теплоприток/входы/выходы/шум;;OEM manuals8LV/6LPA;Теплобаланс/расход воздуха/потери и общий ответственный PK09;Системный проектант;OPEN;Общая система обеспечивает согласованную среду для двигателя;
M22;PK01|PK12;Механический PTO и присоединение гидронасоса;;условные позиции;"Не назначен; одно утверждённое решение после баланса";OPTIONAL;OPEN;"Только механическое присоединение; насос/гидросеть уэлектрогидроагента";Обороты/момент/винт/крепление/сцепление;;"OEM8LVspec optionalbeltPTO; M04notes";"Допустимый отбор пооборотам/режиму; одновременнаянагрузка";Поставщик двигателя + гидропроектант;OPEN;Есть письменное согласование выбранного отбора;РеменныйPTO не подтверждает мощность всех гидропотребителей
M23;PK10;Интерфейс пожарной защиты и аварийных отсечек;;позиции BOM;Число устройств определяет общий проектМО;OPEN;OPEN;"Только требования этой установки; общий пожарный пакет отдельно";Топливо/вентиляция/дистанционныйостанов/электрика;;Проектная декомпозиция M06;"Согласованные интерфейсы остановки и защиты; требования применимости";Системный проектант + поставщик;OPEN;Защита и остановка проверены совместно без дублей устройств;
M24;PK09;Заправочные жидкости, слив/замена масла и поддоны;;л/шт поBOM;"ОбъёмыOPEN; комплекта1 не назначено";OPEN;OPEN;"Abmaжидкости заявлены; внешний слив/поддоны не заявлены";Двигатель/редуктор/сбор отходов/доступ;M03 YAN-E01;"M03/yanmar/research.md; OEM8LV2021spec and2019manual; M04/gearbox.md; OEM6LPA2021spec and partsfig48";"Первые заправки/BOM; точкислива; объёмподдонов; процедурасервиса";Поставщик + верфь;OPEN;Жидкости и безопасное обслуживание обеспечены без двойного счёта;
M25;PK01;Сервисные зоны и путь демонтажа;;чертежи/обмер;Размеры и объёмыOPEN;OPEN;OPEN;Монтажныйобъём главнойустановки, не наружныйгабарит;Фильтры/ремни/колено/редуктор/люки/подъём;;"M03yanmarresearch; OEM installationGA required";GA сдоступами,масса/ЦТ,обмерМО и путьвыноса;Компоновщик + поставщик + верфь;OPEN;"Проверена доступность; помещаемость не выводится изэскиза";"8LV1340x880x766 толькосправочныйгабарит;6LPAконфликтстарыхразмеровOPEN"
M26;PK01;Монтаж и центровка силовой линии;;объёмы работ;"После чертежей; часы/операцииOPEN";SEPARATE;SEPARATE;"Установка,крепление,подключение,центровка; без изготовленияM12";Все механическиестыки/спускнаводу;;Проектная декомпозиция M06;Технология/допуски/проверка после спуска;Верфь + сервис OEM;OPEN;Подписанный монтажный ицентровочный протокол;
M27;PK01;Первые пуски,швартовные иходовые проверки;;операции испытаний;План и длительностьOPEN;OPEN;OPEN;"Испытания главнойустановки; общий судовойплан уroot";Нагрузка/температуры/давления/вибрации/течи/останов;;"OEM manuals8LV/6LPA; M03duty notes";Согласованный план/критерии и гарантийный ввод;Верфь + OEMсервис + проектант;OPEN;Закрыты критерии согласованного плана и замечания;
M28;PK01;Документация,обучение и стартовый ЗИП;;документы/позиции BOM;Состав документов и расходниковOPEN;OPEN;OPEN;"Главнаяустановка; штатные поставки учитывать";Гарантия/серийныеномера/регламент/применимостьЕС;;M03/M04/M05 evidence;As-built/BOM/руководства/сертификаты/гарантия/переченьЗИП;Поставщик + верфь;OPEN;"Документы переданы; персонал ознакомлен; ЗИП согласован";
