item_id;group;item;quantity;unit;quantity_basis;branch_8lv;branch_6lpa;supply_boundary;interfaces;price_ref;technical_source;required_evidence;closure_owner;status;acceptance;notes
M11;PK01;Эластичные опоры двигателя/редуктора;;шт;"Тип/количество поBOM; не назначать4 без поставки";INCLUDED_DEALER_STATEMENT;OPEN;"Abma заявляет опоры8LV; bobtail6LPA проверить";Масса/центр тяжести/фундаменты;M03 YAN-E01;"M03/yanmar/research.md; OEM8LV2021spec and2019manual; M04/gearbox.md; OEM6LPA2021spec and partsfig48";Артикулы/количество/допустимые нагрузки/регулировки;Поставщик + верфь;OPEN;Опоры согласованы с нагрузкой и регулировкой;
M12;PK01;Фундаменты и усиления корпуса;;объёмы работ;После обследования и расчёта;SEPARATE;SEPARATE;Изменения алюминиевого корпуса под главный двигатель;Опоры/упор/коррозия/обслуживание;;Проектная декомпозиция M06;Обмер,расчёт,чертежи,материалы/сварка;Корпусный проектант + верфь;OPEN;Приняты геометрия и качество работ;
M13;PK09;Подача и возврат топлива главного двигателя;;позиции/м поBOM;Трасса/арматура/длиныOPEN;SEPARATE;SEPARATE;"Внешний контур от границы танка до двигателя; безгенераторов";Танк/насос/расход/обратное давление;;"OEM manuals8LV/6LPA; M03research";"Схема; диаметры; материалы; запорная арматура; допустимые давления";Системный проектант + верфь;OPEN;Герметичность и параметры подачи/возврата подтверждены;
M14;PK09;Предварительная фильтрация/водоотделение топлива;;шт;Число фильтров и необходимость резервирования по схеме;OPEN;OPEN;Не путать со штатным фильтром на двигателе;Топливоподача/обслуживание/сигнализация;;"OEM engine specs; M03research";"Штатная комплектность; требуемая тонкость/расход/перепад";Поставщик + системный проектант;OPEN;Фильтрация соответствует инструкции двигателя;
M15;PK09;Интерфейс топливных танков;;позиции BOM;Ёмкость/число танков здесь не назначаются;OPEN;OPEN;"Отбор/возврат/отсечка/очистка; сами танки отдельный корпусной/системный пакет";Общие танки яхты и отдельные потребители;;Проектная декомпозиция M06;Согласованные штуцеры/уровни/режимы и границы пакетов;Системный проектант;OPEN;Утверждены интерфейсы без дублирования танков;
M16;PK09;Забортное охлаждение главного двигателя;;позиции/м поBOM;Число вводов и длины после схемы;SEPARATE;SEPARATE;"Ввод/кингстон/фильтр/шланги/антисифон по применимости; безгенераторов";Корпус/насос/теплообменники/выхлоп;;OEM manuals8LV/6LPA;"Расход/сопротивление/уровни при крене; развязка металлов";Системный проектант + верфь;OPEN;"Согласован расход; исключено обратное затопление по проекту";
M17;PK01|PK09;Штатный замкнутый контур охлаждения двигателя;;позиции BOM;Проверить все штатные и выносные элементы;OPEN;OPEN;"Встроенный насос/теплообменник и расширение; проверитьBOM двигателя";Высоты/развоздушивание/жидкость;;OEM8LV2021 and6LPA2021spec;"BOM; выносной бак/линии если нужны; инструкция заполнения";Поставщик;OPEN;Полный согласованный контур без вторичной покупки штатных узлов;
M18;PK01|PK09;Маслоохладитель редуктора с подключением;1;функциональный узел;"Один контур однойкоробки; состав деталейOPEN; закупка по включённости";OPEN;OPEN;GB04 только теплообменник, не готовый узел;Редуктор/водяной контур/кронштейны/масляные шланги;M04 GB04;"M04/gearbox.md; OEM6LPA2021spec and partsfig48";"Серийныйвариант; полныйBOM; включённость в пакет";Поставщик редуктора;OPEN;Проверены давление/температура и отсутствие течей;
M19;PK01|PK09;Смесительное выпускное колено;1;шт;"Один выпуск; тип L/high-riser после отметок";OPEN;OPEN;"Сверить комплектность выбранногоSKU; альтернативные колена не складывать";Двигатель/забортнаявода/выхлоп;;OEM8LV2021 and6LPA2021spec;Тип/материал/высоты/включённость;Поставщик + системный проектант;OPEN;Колено соответствует монтажной схеме;
M20;PK09;Внешний выпуск главного двигателя;;позиции/м поBOM;Трасса,водянойзамок/глушитель/петли/выпуск порасчёту;SEPARATE;SEPARATE;"От колена до выхода за борт; без выпусков генераторов";Противодавление/затопление/шум/температура;;OEM manuals8LV/6LPA;Чертёж/длины/сечения/расчёт противодавления и водяногообъёма;Системный проектант + верфь;OPEN;Противодавление/защита от воды соответствуют OEM;
M21;PK09;Воздух двигателя и интерфейс вентиляции МО;;расчёт/позиции BOM;Расходы/сечения/число вентиляторовOPEN;OPEN;OPEN;"Требования главного двигателя к общей вентиляции; общий пакетМО не дублируется";Генераторы/теплоприток/входы/выходы/шум;;OEM manuals8LV/6LPA;Теплобаланс/расход воздуха/потери и общий ответственный PK09;Системный проектант;OPEN;Общая система обеспечивает согласованную среду для двигателя;
M22;PK01|PK12;Механический PTO и присоединение гидронасоса;;условные позиции;"Не назначен; одно утверждённое решение после баланса";OPTIONAL;OPEN;"Только механическое присоединение; насос/гидросеть уэлектрогидроагента";Обороты/момент/винт/крепление/сцепление;;"OEM8LVspec optionalbeltPTO; M04notes";"Допустимый отбор пооборотам/режиму; одновременнаянагрузка";Поставщик двигателя + гидропроектант;OPEN;Есть письменное согласование выбранного отбора;РеменныйPTO не подтверждает мощность всех гидропотребителей
M23;PK10;Интерфейс пожарной защиты и аварийных отсечек;;позиции BOM;Число устройств определяет общий проектМО;OPEN;OPEN;"Только требования этой установки; общий пожарный пакет отдельно";Топливо/вентиляция/дистанционныйостанов/электрика;;Проектная декомпозиция M06;"Согласованные интерфейсы остановки и защиты; требования применимости";Системный проектант + поставщик;OPEN;Защита и остановка проверены совместно без дублей устройств;
M24;PK09;Заправочные жидкости, слив/замена масла и поддоны;;л/шт поBOM;"ОбъёмыOPEN; комплекта1 не назначено";OPEN;OPEN;"Abmaжидкости заявлены; внешний слив/поддоны не заявлены";Двигатель/редуктор/сбор отходов/доступ;M03 YAN-E01;"M03/yanmar/research.md; OEM8LV2021spec and2019manual; M04/gearbox.md; OEM6LPA2021spec and partsfig48";"Первые заправки/BOM; точкислива; объёмподдонов; процедурасервиса";Поставщик + верфь;OPEN;Жидкости и безопасное обслуживание обеспечены без двойного счёта;
M25;PK01;Сервисные зоны и путь демонтажа;;чертежи/обмер;Размеры и объёмыOPEN;OPEN;OPEN;Монтажныйобъём главнойустановки, не наружныйгабарит;Фильтры/ремни/колено/редуктор/люки/подъём;;"M03yanmarresearch; OEM installationGA required";GA сдоступами,масса/ЦТ,обмерМО и путьвыноса;Компоновщик + поставщик + верфь;OPEN;"Проверена доступность; помещаемость не выводится изэскиза";"8LV1340x880x766 толькосправочныйгабарит;6LPAконфликтстарыхразмеровOPEN"
M26;PK01;Монтаж и центровка силовой линии;;объёмы работ;"После чертежей; часы/операцииOPEN";SEPARATE;SEPARATE;"Установка,крепление,подключение,центровка; без изготовленияM12";Все механическиестыки/спускнаводу;;Проектная декомпозиция M06;Технология/допуски/проверка после спуска;Верфь + сервис OEM;OPEN;Подписанный монтажный ицентровочный протокол;
M27;PK01;Первые пуски,швартовные иходовые проверки;;операции испытаний;План и длительностьOPEN;OPEN;OPEN;"Испытания главнойустановки; общий судовойплан уroot";Нагрузка/температуры/давления/вибрации/течи/останов;;"OEM manuals8LV/6LPA; M03duty notes";Согласованный план/критерии и гарантийный ввод;Верфь + OEMсервис + проектант;OPEN;Закрыты критерии согласованного плана и замечания;
M28;PK01;Документация,обучение и стартовый ЗИП;;документы/позиции BOM;Состав документов и расходниковOPEN;OPEN;OPEN;"Главнаяустановка; штатные поставки учитывать";Гарантия/серийныеномера/регламент/применимостьЕС;;M03/M04/M05 evidence;As-built/BOM/руководства/сертификаты/гарантия/переченьЗИП;Поставщик + верфь;OPEN;"Документы переданы; персонал ознакомлен; ЗИП согласован";
EH01;EXISTING_MAIN_COMPONENT_REFS;"Ссылка на ранее заданные аккумуляторы; не новая закупочная строка";;reference only;"Уже задано 6+2+1=9; quantity пусто для исключения повторного суммирования";N_A;N_A;"M01 ME-07:1 пусковая; ME-08:6 сервисных; ME-27:2 генераторных";Батареи / двигатели / заряд / резервный пуск;M01 ME-07|ME-08|ME-27;deliverables/M01/v001/01_support/owner-requirements.md D018;Паспорта: напряжение каждой АКБ, химия, Ah, CCA и стандарт CCA, BMS и допустимый пусковой ток;Владелец исходных данных + электропроектировщик;OPEN;"В ведомости остаётся 9 физических АКБ; заполнены паспортные характеристики всех 9";"115 ампер не преобразовано в 115 Ah; ссылка не означает наличие купленных АКБ"
EH02;START;Исполнение пуска 24 В для точного двигателя;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;Поставщик двигателя: стартер, соленоид, реле, генератор, ECU/приборы/датчики по совместимой схеме;24 VDC / штатная электрика двигателя;M03 YAN-E01|YAN-E02;https://www.yanmar.com/marine/wp-content/uploads/2020/03/DS_8LV320-350-370_A4_2021_1018_HR.pdf?download=1 | https://www.yanmar.com/marine/wp-content/uploads/2020/05/Yanmar-Datasheet_6LPA-STP2.pdf?download=1;"Есть ли одобренное OEM исполнение 24 В? Дайте SKU, схему, ограничения и гарантийное подтверждение; при отсутствии прямо укажите";Yanmar / поставщик двигателя;OPEN;"Документирована реализуемая архитектура с требованием 24 В; изменения согласованы до закрытия";"Паспорта показывают штатно 12 В; отсутствие найденной опции не доказательство невозможности. Ветка 12 В не принята"
EH03;START;Матрица резервного пуска от каждого исправного донора;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;Системное решение, не один контактор;Каждая из 9 АКБ / пусковые цели / работоспособность основной нагрузки;M01 ME-28;deliverables/M01/v001/01_support/owner-requirements.md D018;Для каждого донора: допустимая цель, напряжение, доступный ток/энергия, условия SOC/температуры, BMS, способ преобразования если нужен;Электропроектировщик + OEM двигателей;OPEN;"Каждый требуемый сценарий подтверждён расчётом и программой испытаний; ограничения явно приняты";"Не обещать запуск от любой одиночной АКБ до проверки; не добавлять АКБ и не назначать последовательную схему"
EH04;START;Дистанционное отсоединение отказавшей батареи и коммутация донора;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;"Контакторы/изоляторы/блокировки как один функциональный узел; число по схеме";Отказ КЗ / разряд / BMS trip / залипание контакта;M01 ME-28;deliverables/M01/v001/01_support/owner-requirements.md D018;Однолинейная схема и последовательность: обнаружение, изоляция повреждённой ветви, подтверждение положения, разрешение донора;Электропроектировщик + сборщик щита;OPEN;"Отказавшая АКБ не подключается обратно через резерв; исключено недопустимое соединение источников";"Прямая короткая перемычка между неизвестными напряжениями не решение; предусмотреть местное аварийное действие"
EH05;START;Питание и индикация дистанционного резервного управления;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;Цепи управления/сигнализации, источник независим от отказавшей пусковой ветви;Пост управления / контакторы / обратная связь;M01 ME-28;deliverables/M01/v001/01_support/owner-requirements.md D018;Откуда питается управление при обесточенной пусковой АКБ? Схема, индикация реальных положений и ручное восстановление;Электропроектировщик;OPEN;"Дистанционный перевод доступен при заданном отказе; потеря питания не создаёт опасное соединение";
EH06;START;Пусковые кабели, защита и отключающая способность;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;Внешняя силовая проводка, наконечники, защита и прокладка;Стартер / контакторы / батареи / общий возврат;M01 ME-28;https://www.yanmar.com/marine/wp-content/uploads/2020/03/DS_8LV320-350-370_A4_2021_1018_HR.pdf?download=1 | https://www.yanmar.com/marine/wp-content/uploads/2020/05/Yanmar-Datasheet_6LPA-STP2.pdf?download=1;"Длина трасс, ток пуска/КЗ, падение напряжения, длительность пуска, нагрев, DC ratings защиты/контактов; обоснование исключений защиты пусковой цепи";Электропроектировщик + электромонтажник;OPEN;Расчёт и спецификация покрывают штатный и резервный пуск, ток КЗ и среду МО;Не назначать сечение или номинал по мощности стартера без пускового тока
EH07;POWER;Заряд и разделение источников;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;Штатный генератор двигателя отделён от судового распределения и зарядных устройств;Сервис / 2 генераторные / главная пусковая / инверторы-зарядники;"M01 ME-05|ME-10|ME-28; M03 YAN-E01|YAN-E02";deliverables/M01/v001/01_support/owner-requirements.md D018 | https://www.yanmar.com/marine/wp-content/uploads/2020/03/DS_8LV320-350-370_A4_2021_1018_HR.pdf?download=1 | https://www.yanmar.com/marine/wp-content/uploads/2020/05/Yanmar-Datasheet_6LPA-STP2.pdf?download=1;Матрица зарядных режимов химии/BMS, напряжения, токи, изоляция обратных токов, действия при отказе/размыкании нагрузки;Электропроектировщик + OEM;OPEN;"Ни одна АКБ не заряжается несовместимым режимом; резервная коммутация согласована с работающими зарядниками";"Не добавлять отдельный преобразователь до выбора архитектуры; 12-вольтовый генератор не принят как судовая сеть"
EH08;POWER;Распределение 24 VDC / 220 VAC и возврат токов;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;"Судовые щиты/кабели/защита; число шкафов пока не задано";Берег / 2 генератора / инверторы / алюминиевый корпус;M01 ME-04|ME-05|ME-09|ME-10;deliverables/M01/v001/01_support/owner-requirements.md D018;Однолинейная схема: напряжение/частота, переключение источников, защита утечки, PE/DC return, уравнивание потенциалов и коррозионная защита;Электропроектировщик + верфь;OPEN;"Подтверждены 24 В DC и 220 В AC для потребителей; исключены непредусмотренная параллель источников и токовый возврат через корпус";"50 Гц — прежняя проектная цель, не новое подтверждение владельца; 230 В паспортов согласовать с 220 В требованием"
EH09;CONTROL;Приборная панель и моторный жгут;;functional scope;Количество аппаратов определяется согласованной схемой;INCLUDED_DEALER_STATEMENT;SEPARATE;"8LV заявлен VC20/панель/проводка; 6LPA выбрать одну B/C/D и верный жгут";Двигатель / пост / сигнализация / напряжение;"M03 YAN-E01; M04 A01|A02|A03|A06";deliverables/M04/v001/01_support/ancillaries.md;Упаковочная спецификация, SKU панели и моторного/удлинительного жгута, длины, разъёмы и рабочее напряжение;Поставщик двигателя;OPEN;"Состав подтверждён по точному серийному исполнению; встроенные датчики/детали панели не задвоены";"Для STP2 77760 против старого 77720; длина 6 м условна"
EH10;CONTROL;Газ/реверс, нейтраль и разрешение пуска;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;SEPARATE;"8LV проверить состав VC20; 6LPA механический пост, тросы, кронштейны и нейтральная блокировка";Редуктор / двигатель / PTO / посты;"M04 A07; M03 YAN-E01";deliverables/M04/v001/00_yanmar-completeness.md;"Схема управления и комплектность каждого поста; нейтральный датчик, ход тросов/актуаторов, отказ питания";Поставщик управления + верфь;OPEN;"Пуск при включённой передаче заблокирован; команды PTO/газа/реверса согласованы";"Панель приборов не заменяет управление движением; число постов открыто"
EH11;HYDRAULIC;Профиль гидравлических потребителей;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;"Подруливающие устройства и все лебёдки; это обязательный тип привода";Каждый потребитель / насосы / распределители;M01 ME-29;deliverables/M01/v001/01_support/owner-requirements.md D018;"По каждому потребителю: давление, расход, длительность, пусковой переход, направление; таблица одновременных режимов";Гидропроектировщик + поставщики потребителей;OPEN;"Все подрульки и лебёдки включены в нагрузочную матрицу; основные режимы согласованы";Не добавлять электрические приводы вместо обязательной гидравлики
EH12;HYDRAULIC;Допустимый PTO и сопряжение насоса;;functional scope;Количество аппаратов определяется согласованной схемой;OPTIONAL;OPEN;"8LV опциональный передний ременный PTO; 6LPA подтверждённого привода нет";Коленвал / ремни или муфта / насос / редуктор;M03 YAN-E01|YAN-E02;https://www.yanmar.com/marine/product/engines/8lv320/;Кривые допустимой мощности/момента PTO по оборотам, боковые нагрузки, комплект привода, передача и ограничения гарантий;Yanmar + поставщик гидросистемы;OPEN;OEM подтвердил точный привод и насос во всём требуемом диапазоне;Гидравлическое включение KMH50A не является внешним гидравлическим PTO
EH13;HYDRAULIC;Основной насос и управление расходом;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;"Насосный функциональный пакет; число насосов и секций открыто";PTO / электрический или иной согласованный источник / распределение;M01 ME-29;deliverables/M01/v001/01_support/owner-requirements.md D018;Рабочие точки p-Q, КПД, обороты, управление расходом, разгрузка, допустимость сухого пуска и кавитационный запас;Гидропроектировщик;OPEN;Потребители обеспечены в согласованных режимах без превышения PTO/привода;Оборудование не выбирать только по максимальному давлению
EH14;HYDRAULIC;Совместный баланс ходовой мощности и гидравлики;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;Расчёт режимов всей силовой установки;Двигатель / винт / насос / генерация электроэнергии;M03 YAN-E01|YAN-E02;https://www.yanmar.com/marine/wp-content/uploads/2020/03/DS_8LV320-350-370_A4_2021_1018_HR.pdf?download=1 | https://www.yanmar.com/marine/wp-content/uploads/2020/05/Yanmar-Datasheet_6LPA-STP2.pdf?download=1;"Баланс по оборотам и продолжительности: ход+подрульки+лебёдки; ограничения включения и минимальные обороты";Судовой проектировщик + OEM + гидропроектировщик;OPEN;"Нет превышения длительного рейтинга двигателя и привода; доступная тяга показана";Паспортная пиковая мощность двигателя не равна непрерывной мощности PTO
EH15;HYDRAULIC;Резерв работоспособности при отказе основного насоса/двигателя;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;"Функция резерва; отдельный второй насос не назначен";Донор энергии / аварийные режимы / необходимые потребители;M01 ME-29;deliverables/M01/v001/01_support/owner-requirements.md D018;"Сценарии отказа и минимально необходимые операции; варианты независимого привода, переключение и энергобаланс";Гидропроектировщик + судовой проектировщик;OPEN;Согласованы обеспечиваемые аварийные функции и испытание переключения;"Резервный пуск двигателя и резерв гидравлики — разные задачи; насос пресной воды ME-06 сюда не относится"
EH16;HYDRAULIC;Бак, фильтрация, охладитель и обвязка;;functional scope;Количество аппаратов определяется согласованной схемой;SEPARATE;SEPARATE;"Полный вспомогательный гидропакет; объёмы и число аппаратов по расчёту";Воздух/вода охлаждения / корпус / МО / гидроприводы;M01 ME-29;deliverables/M01/v001/01_support/owner-requirements.md D018;Тепловой баланс, температура масла, резервуар/деаэрация, фильтрация, датчики загрязнения/уровня, трубопроводы и обслуживание;Гидропроектировщик + верфь;OPEN;"Температура и чистота масла обеспечены в худшем согласованном цикле; комплектность/доступ показаны";Охладитель масла редуктора M04 не подменяет охладитель внешней гидросистемы
EH17;HYDRAULIC;Защитные функции и условный аккумулятор давления;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;"Предохранение от превышения давления/неуправляемого движения; аккумулятор только если требуется расчётом";Клапаны / удержание нагрузок / аварийный останов / сброс энергии;M01 ME-29;deliverables/M01/v001/01_support/owner-requirements.md D018;"Схема предохранительных/удерживающих клапанов, ручной сброс, аварийный останов; для аккумулятора обоснование, объём и изоляция";Гидропроектировщик + поставщики лебёдок/подрулек;OPEN;"Нагрузки безопасно удерживаются при потере давления; остаточная энергия контролируема";Аккумулятор давления не назначен обязательным и не является электрической АКБ
EH18;VERIFICATION;Совместные приёмочные испытания пуска и гидравлики;;functional scope;Количество аппаратов определяется согласованной схемой;OPEN;OPEN;Программа FAT/SAT и комплект исполнительных схем;Электрика / двигатель / PTO / гидравлика / оператор;M01 ME-28|ME-29;deliverables/M01/v001/01_support/owner-requirements.md D018;Протоколы штатного и резервного пуска, изоляции отказа, потери управления, совместной нагрузки и температурного цикла;Верфь + системные поставщики + независимая приёмка;OPEN;"Результаты сопоставлены с числовыми критериями утверждённого проекта; замечания закрыты";Это будущие критерии приёмки, не заявление уже выполненных испытаний
G01;GENERATOR_INTERFACE;Два дизель-генератора как интерфейс силовой установки;2;шт.;"M01:2 генератора; две модели рассматриваются альтернативно, не суммируются";SEPARATE;SEPARATE;"PK02: агрегаты/капсулы/заводская комплектация; внешние ветви G02, электрическая коммутация EH";Нагрузки AC/заряд/пуск/тепло/гидравлический резерв;"M03 PAN-G02|PAN-G03; комплектность не закрыта";deliverables/M03/v001/01_support/panda/candidates.csv;"Два точных SKU; полезная мощность при температуре МО;24Впуск; 220Всовместимость; BOM/GA";Fischer Panda + электропроектировщик;OPEN;"Два агрегата подтверждены по одному согласованному требованию к полезному выходу; выбранная модель/режим документированы";"Не назначены параллель и номинальная сумма мощностей; генераторы не посчитаны повторно в главном двигателе"
G02;GENERATOR_INTERFACE;Внешние топливные, забортные и выхлопные ветви двух генераторов;;по схеме;"Два обслуживаемых агрегата; количества клапанов/фильтров/проходов и длины пока неизвестны";SEPARATE;SEPARATE;"PK09: вне заводского пакета; главному двигателю соответствуют механические строки";G01 / корпус / водолиния / крен / вентиляция / отсечки;"M03 PK09; поставку и монтаж закрыть отдельно";deliverables/M03/v001/01_support/packages.csv;"Схема каждой ветви, OEMпределы, отказ/обратныйпереток/сифон, BOMтруб/арматуры; функции общей и индивидуальной отсечки";Механик + OEM + верфь;OPEN;"Отказ/ремонт одного генератора не лишает второй предусмотренной работоспособности; испытания каждой ветви";"Общий топливный танк не объявлен независимостью систем; общие причины отказа анализируются; вентиляция общая учитывается единожды"
G03;GENERATOR_INTERFACE;Крепление, монтаж и пусконаладка генераторов;;работы по двум агрегатам;Нормочасы, крепёж, центровка/проверка вибрации и испытания по монтажному проекту;SEPARATE;SEPARATE;"PK02: собственный монтаж/локальные испытания; общие электросистемные испытания EH отдельно";G01 / фундаменты / шум / изоляция / сервис / программа приёмки;"M03 PK02; цена работ OPEN";deliverables/M03/v001/01_support/packages.csv;"Расчёт креплений, рабочая и сервисная масса, маршрут заноса/извлечения; протокол по одному и двум агрегатам";Верфь + сервис Fischer Panda;OPEN;"Оформлены крепления и доступ; подтверждена работа в согласованных режимах; гарантийный ввод";Заводские опоры не покупать второй раз при включении в G01
