group;candidate_id;model;price_order_only;eur_net_unit;quantity;eur_fixed_qty_line;price_class;limitation;price_url
Бойлер, цена за шт;WC-HW-02;BX 40L1200W FLBX4012S000A00;Средняя;690.83;;;OBSERVED_NET_CONDITIONAL_SCOPE;40 л — пример, количество открыто. Сравнить полезный запас горячей воды и обслуживание.;https://www.tyboat.com/achat/P-8880-quick-chauffe-eau-cylindrique-bx-40-litres-220-volts-1200-watts.html
Бойлер, цена за шт;WC-HW-03;BXS 40L1200W FLBXS4012S00A00;Верхняя;757.50;;;OBSERVED_NET_CONDITIONAL_SCOPE;40 л — пример, количество открыто. Сравнить полезный запас горячей воды и обслуживание.;https://www.tyboat.com/achat/P-18237-quick-chauffe-eau-cube-inox-bxs-40-litres-220-volts-1200-watts.html
Чиллеры, 2 шт;WC-CH-01;UC16H;1 из 2 известных;3621.00;2;7242.00;OBSERVED_NET_CONDITIONAL_SCOPE;16 000 BTU/h — пример, не выбранная мощность. Панели/насосы/воздушные блоки уточнять.;https://www.esconet.fi/shop/uc16h-thermowell-uc16h-ilmastointilaite-chiller-230v-16000btu-27518
Чиллеры, 2 шт;WC-CH-02;CWS Aquacontrol161RC 230/1/50;2 из 2 известных;4155.30;2;8310.60;OBSERVED_NET_CONDITIONAL_SCOPE;16 000 BTU/h — пример, не выбранная мощность. Панели/насосы/воздушные блоки уточнять.;https://mdislandsupply.com/en/climma/879-cws-aquacontrol-161-rc-230150-climma.html
Чиллеры, 2 шт;WC-CH-03;BlueCool C16M;Без ранга: нет NET;;2;;NO_VERIFIED_NET;16 000 BTU/h — пример, не выбранная мощность. Панели/насосы/воздушные блоки уточнять.;https://www.nauticsale.com/en/airconditioning/bluecool-chiller-systems/bluecool-c-series-chillers/
Опреснитель, 1 шт;WC-RO-01;AC150 230V single phase;1 из 2 известных;6335.29;1;6335.29;OBSERVED_NET_CONDITIONAL_SCOPE;Базовая цена и цена ОТ не равны полному результату 150 л/ч с автоматикой.;https://www.aquatec-watermaker.de/wassermacher-produkt-ac150-ac240.html
Опреснитель, 1 шт;WC-RO-02;ZEN150 24V/230V Touch plus salinity/reject;2 из 2 известных;10683.50;1;10683.50;FROM_INCOMPLETE_CONFIGURATION;Базовая цена и цена ОТ не равны полному результату 150 л/ч с автоматикой.;https://mar-nautic.com/schenker-watermaker-zen-150
Опреснитель, 1 шт;WC-RO-03;NEW12 150C 24V;Без ранга: нет NET;;1;;NO_VERIFIED_NET;Базовая цена и цена ОТ не равны полному результату 150 л/ч с автоматикой.;https://www.manelservice.com/en/marine-desalination-systems/17102-osmosea-new12-150c-nautical-watermaker-150-lth.html
Пресная вода 24 В, 1 установка;WC-DC-01;OSC-16.062.24 / OEM identity reconcile;1 из 2 известных;1024.92;1;1024.92;OBSERVED_NET_CONDITIONAL_SCOPE;Сопоставимость рабочей точки и состав открыты.;https://www.comptoirnautique.com/groupe-d-eau-a-pressostat/53022-cem-elettromeccanica-autoclave-cem-vase-expansion-inox-20l-24v-50-l-min.html
Пресная вода 24 В, 1 установка;WC-DC-02;EcoInox1 GE011 24V20L;2 из 2 известных;1093.25;1;1093.25;OBSERVED_NET_CONDITIONAL_SCOPE;Сопоставимость рабочей точки и состав открыты.;https://www.comptoirnautique.com/groupe-d-eau-hydrophore/22947-gianneschi-groupe-d-eau-ecoinox-1-avec-reservoir-20l-24v-45lmin-7024.html
Пресная вода 24 В, 1 установка;WC-DC-03;GH24-0.37-24L-OT RB18-ED;Без ранга: нет NET;;1;;NO_VERIFIED_NET;Сопоставимость рабочей точки и состав открыты.;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf
Пресная вода AC, 1 установка;WC-AC-01;J-INOX/20X 230M;Без ранга: нет NET;;1;;NO_VERIFIED_NET;Одна открытая цена. Неизвестные не ранжировать как дешёвые.;https://cempumps.com/wp-content/uploads/2024/10/Autoclavi_20L-20X.pdf
Пресная вода AC, 1 установка;WC-AC-02;EcoInox2 GE017 230V20L;1 из 1 известных;1052.50;1;1052.50;OBSERVED_NET_CONDITIONAL_SCOPE;Одна открытая цена. Неизвестные не ранжировать как дешёвые.;https://www.tyboat.com/achat/P-57388-gianneschi-groupe-d-eau-ecoinox2-3-5-bars-0-45-kw-55-litres-minute-reservoir-20-litres-230-volts.html
Пресная вода AC, 1 установка;WC-AC-03;GH230mono-0.37-24L-JET M-ED;Без ранга: нет NET;;1;;NO_VERIFIED_NET;Одна открытая цена. Неизвестные не ранжировать как дешёвые.;https://www.enag.fr/english/wp-content/uploads/sites/5/2022/11/FC-GH-EN-C.pdf
Развязка берега, цена за шт;EL-ISO-A;3600 ITR040362042;1 из 2 известных;436.93;;;OBSERVED_NET_CONDITIONAL_SCOPE;"Выбрать по нужной береговой мощности, потерям и месту установки; количество открыто.";https://www.svb24.com/en/p/victron-isolation-transformer-3600-w-115-230-v.html
Развязка берега, цена за шт;EL-ISO-B;Mass GI3.5 88000355;2 из 2 известных;1008.36;;;OBSERVED_NET_CONDITIONAL_SCOPE;"Выбрать по нужной береговой мощности, потерям и месту установки; количество открыто.";https://www.svb24.com/en/mastervolt-mass-gi-3-5-isolation-transformer-16-a-3-5-kw.html
Развязка берега, цена за шт;EL-ISO-C;GI3600 60110102;Без ранга: нет NET;;;;NO_VERIFIED_NET;"Выбрать по нужной береговой мощности, потерям и месту установки; количество открыто.";https://www.hansenautic.de/36377/wp-gi-compact-galvanic-isolation-transformator-230v-16a-120v-32a/
Двигатель с редуктором, 1 комплект;PROP-E01;D4-300 I + HS68A;Нижняя;44716.00;1;44716.00;HISTORICAL_2023_NOT_CURRENT;"ТОЛЬКО исторический март 2023; не текущий диапазон цен 2026.";https://www.dbmoteurs.fr/sites/default/files/Volvo-Penta-tarifs-prix-achat-moteurs-2023-DB-Moteurs-motorisation-marine-bateau-plaisance.pdf
Двигатель с редуктором, 1 комплект;PROP-E02;D4-300 I + HS85A;Средняя;45977.00;1;45977.00;HISTORICAL_2023_NOT_CURRENT;"ТОЛЬКО исторический март 2023; не текущий диапазон цен 2026.";https://www.dbmoteurs.fr/sites/default/files/Volvo-Penta-tarifs-prix-achat-moteurs-2023-DB-Moteurs-motorisation-marine-bateau-plaisance.pdf
Двигатель с редуктором, 1 комплект;PROP-E03;D6-300 I + HS85A;Верхняя;50146.00;1;50146.00;HISTORICAL_2023_NOT_CURRENT;"ТОЛЬКО исторический март 2023; не текущий диапазон цен 2026.";https://www.dbmoteurs.fr/sites/default/files/Volvo-Penta-tarifs-prix-achat-moteurs-2023-DB-Moteurs-motorisation-marine-bateau-plaisance.pdf
Гидравлика, архитектуры;A01;HT1010;Часть архитектуры, не ранг;2807.52;;;OBSERVED_NET_CONDITIONAL_SCOPE;"Vetus — цена бака, не станции; Sleipner/Harken RFQ. Тяга и работа лебёдок открыты.";https://www.vetus-shop.com/aluminium-hydraulic-tank-70-incl-ht1013-p-2024.html
Гидравлика, архитектуры;A07;Load-sensing system / bulkhead tank 40L;Часть архитектуры, не ранг;;;;NO_VERIFIED_NET;"Vetus — цена бака, не станции; Sleipner/Harken RFQ. Тяга и работа лебёдок открыты.";
Гидравлика, архитектуры;A08;Hydro 2;Часть архитектуры, не ранг;;;;NO_VERIFIED_NET;"Vetus — цена бака, не станции; Sleipner/Harken RFQ. Тяга и работа лебёдок открыты.";
